timestamp,eth_price,btc_price,eth_btc,eth_btc_ma30,eth_btc_change_30d
2024-06-22,3495.75,64262.01,0.054398391833682135,0.054185370200976184,-2.277463758203613
2024-06-23,3420.91,63210.01,0.054119750969822654,0.05417643676314676,-0.49276374671877177
2024-06-24,3352.73,60293.3,0.05560700774381233,0.0542263623939905,2.76804656287295
2024-06-25,3394.91,61806.01,0.054928477020276825,0.05419549090048119,-1.6581345912104806
2024-06-26,3371.44,60864.99,0.05539210636525201,0.054172453097502446,-1.2323362269369587
2024-06-27,3450.44,61706.47,0.05591698893163067,0.05416267802169114,-0.5217061304979675
2024-06-28,3380.15,60427.84,0.055936965478163715,0.05417097586826939,0.44701778279179205
2024-06-29,3378.8,60986.68,0.055402261608600435,0.05418997297489894,1.0393740472831592
2024-06-30,3438.16,62772.01,0.05477218269735189,0.054158892023573935,-1.6738803467841845
2024-07-01,3442.2,62899.99,0.054724968954685045,0.05410612225113937,-2.8114858036595414
2024-07-02,3421.35,62135.47,0.05506275240213038,0.05408175006623501,-1.3104753600488017
2024-07-03,3295.48,60208.58,0.05473439167640227,0.054081366409142094,-0.02102388031853808
2024-07-04,3059.7,57050.01,0.05363189243963322,0.054068535399008175,-0.7126118947135107
2024-07-05,2981.78,56628.79,0.0526548421748019,0.054011434705868076,-3.150796629949537
2024-07-06,3066.83,58230.13,0.05266740774921849,0.053971576813819505,-2.2199534994103876
2024-07-07,2931.0,55857.81,0.05247251906224036,0.05395280545917433,-1.0618150929468384
2024-07-08,3019.01,56714.62,0.05323160059963375,0.05395662245115355,0.2155798775221207
2024-07-09,3066.65,58050.0,0.052827734711455646,0.053943678082055926,-0.729725257222047
2024-07-10,3101.05,57725.85,0.05372030035070943,0.05397620597314419,1.8501216349723792
2024-07-11,3099.57,57339.89,0.054056085562773144,0.05404623291792985,4.043493666112341
2024-07-12,3133.88,57889.1,0.05413592541601096,0.05411235576016791,3.8036434513252004
2024-07-13,3175.93,59204.02,0.05364382351063323,0.054168545910306794,3.244352444622911
2024-07-14,3245.08,60797.91,0.053374861076638976,0.05419039437383185,1.2432877016753885
2024-07-15,3483.39,64724.14,0.05381902331958369,0.05418817967500127,-0.12330034787574329
2024-07-16,3444.13,65043.99,0.052950779926016225,0.054141277988067255,-2.588496623572023
2024-07-17,3387.05,64087.99,0.052849995763636845,0.054142928787227505,0.0937945687408348
2024-07-18,3426.5,63987.92,0.053549169905819725,0.05414633717573314,0.1913144078569573
2024-07-19,3503.53,66660.0,0.052558205820582064,0.054071654554222866,-4.088562831654663
2024-07-20,3517.5,67139.96,0.05239055846920373,0.054012816358004895,-3.2593905065736894
2024-07-21,3535.92,68165.34,0.05187269659331267,0.05391345560445715,-5.434150169249763
2024-07-22,3439.6,67532.01,0.050932883531824395,0.05379793866106188,-6.370607999687195
2024-07-23,3482.51,65936.01,0.05281651103850537,0.053754497330017983,-2.408067125149882
2024-07-24,3335.81,65376.0,0.05102499388154674,0.05360176353460913,-8.239993569471382
2024-07-25,3175.48,65799.95,0.048259611139522145,0.05337946800525064,-12.140999063733137
2024-07-26,3274.61,67907.99,0.04822127705443792,0.05314044036155684,-12.9455797610044
2024-07-27,3249.01,67896.5,0.04785239298049237,0.0528716204965189,-14.422443170176468
2024-07-28,3270.16,68249.88,0.04791451647973593,0.052604205529904635,-14.341945312638627
2024-07-29,3317.66,66784.69,0.04967695440377128,0.052413361956410325,-10.334067669072155
2024-07-30,3279.21,66188.0,0.04954387502266272,0.05223908503392069,-9.545552901513165
2024-07-31,3232.74,64628.0,0.050020734047162216,0.05208227720366993,-8.596139929139412
2024-08-01,3203.4,65354.02,0.04901611255130136,0.05188072254197563,-10.981361423180648
2024-08-02,2989.61,61498.33,0.04861286477210031,0.05167667164516556,-11.184059449300754
2024-08-03,2903.64,60697.99,0.04783749840810215,0.05148352517744786,-10.804008152524357
2024-08-04,2688.92,58161.0,0.04623235501452864,0.05126944227210542,-12.1973343666136
2024-08-05,2419.59,54018.81,0.04479161980798911,0.05100691600739777,-14.953817318541274
2024-08-06,2461.33,56022.01,0.04393505338348267,0.05072233381810585,-16.270356047955236
2024-08-07,2342.8,55134.16,0.04249271232208852,0.05036437087552101,-20.17389700211103
2024-08-08,2682.5,61685.99,0.043486373486102764,0.05005299216800925,-17.682683681924406
2024-08-09,2598.78,60837.99,0.042716401380124495,0.04968619553565642,-20.48368847297336
2024-08-10,2609.92,60923.51,0.04283929143281469,0.04931230239799113,-20.750289284141466
