entry_time,entry_price,size,direction,exit_time,exit_price,pnl,pnl_pct,commission,slippage,duration_hours,strategy,coin,timeframe,is_winner
2020-09-27 11:45:00+00:00,3.0647316,278.1272844813134,LONG,2020-09-27 13:30:00+00:00,3.10154845,8.1,1.2013,1.715,0.426,1.75,backtest,SOL,15m,True
2020-09-27 13:45:00+00:00,3.0977481,275.43827054037047,LONG,2020-09-27 15:45:00+00:00,3.13413215,7.88,1.1745,1.7165,0.4264,2.0,backtest,SOL,15m,True
2020-09-27 16:00:00+00:00,3.13186515,272.7030887940461,LONG,2020-09-27 20:30:00+00:00,3.11834005,-5.82,-0.4319,1.7044,0.4268,4.5,backtest,SOL,15m,False
2020-09-27 22:45:00+00:00,3.1609797,270.0206369287901,LONG,2020-09-28 03:15:00+00:00,3.10694575,-16.71,-1.7094,1.6925,0.4266,4.5,backtest,SOL,15m,False
2020-09-28 14:30:00+00:00,3.06102975,278.30525442664526,LONG,2020-09-28 18:00:00+00:00,3.0283850500000002,-11.21,-1.0665,1.6947,0.4257,3.5,backtest,SOL,15m,False
2020-09-29 01:30:00+00:00,2.9845915499999998,285.0715482426913,LONG,2020-09-29 01:45:00+00:00,2.9199393000000002,-20.54,-2.1662,1.6832,0.4252,0.25,backtest,SOL,15m,False
2020-09-29 02:00:00+00:00,2.91775815,290.91162204389985,LONG,2020-09-29 02:30:00+00:00,2.9223381,-0.79,0.157,1.699,0.4242,0.5,backtest,SOL,15m,False
2020-09-29 06:30:00+00:00,2.95377615,287.3518626625252,LONG,2020-09-29 06:45:00+00:00,2.9893046,8.08,1.2028,1.7078,0.4242,0.25,backtest,SOL,15m,True
2020-09-29 07:00:00+00:00,2.9913949499999997,284.0225575041224,LONG,2020-09-29 08:45:00+00:00,2.9509238,-13.61,-1.3529,1.6877,0.4246,1.75,backtest,SOL,15m,False
2020-09-29 09:15:00+00:00,2.9708846999999996,285.5394349041613,LONG,2020-09-29 14:00:00+00:00,3.0056964,7.81,1.1718,1.7066,0.4239,4.75,backtest,SOL,15m,True
2020-09-29 15:00:00+00:00,3.00079965,282.9674103358641,LONG,2020-09-29 16:00:00+00:00,2.9587199,-14.02,-1.4023,1.6863,0.4244,1.0,backtest,SOL,15m,False
2020-09-29 16:15:00+00:00,2.9214599999999997,290.18657520673264,LONG,2020-09-29 16:30:00+00:00,2.9165410000000005,-3.55,-0.1684,1.6941,0.4237,0.25,backtest,SOL,15m,False
2020-09-29 23:30:00+00:00,2.94537195,287.7246665663607,LONG,2020-09-30 00:45:00+00:00,2.9155415,-10.69,-1.0128,1.6863,0.4235,1.25,backtest,SOL,15m,False
2020-09-30 03:30:00+00:00,2.95897875,286.05434242667934,LONG,2020-09-30 07:15:00+00:00,2.9472256500000005,-5.47,-0.3972,1.6895,0.423,3.75,backtest,SOL,15m,False
2020-09-30 15:15:00+00:00,2.8816401,293.5561994937791,LONG,2020-09-30 18:15:00+00:00,2.8525730000000005,-10.64,-1.0087,1.6833,0.4228,3.0,backtest,SOL,15m,False
2020-09-30 22:15:00+00:00,2.8890437999999996,292.4501149901089,LONG,2020-10-01 00:30:00+00:00,2.9107439,4.23,0.7511,1.6962,0.4222,2.25,backtest,SOL,15m,True
2020-10-01 00:45:00+00:00,2.91775815,289.7314941884498,LONG,2020-10-01 02:30:00+00:00,2.9426279500000003,5.09,0.8524,1.6979,0.4225,1.75,backtest,SOL,15m,True
2020-10-01 02:45:00+00:00,2.93236545,288.4761399871503,LONG,2020-10-01 05:30:00+00:00,2.9607189000000003,6.06,0.9669,1.7,0.4227,2.75,backtest,SOL,15m,True
2020-10-01 05:45:00+00:00,2.9797891499999998,284.1025572290954,LONG,2020-10-01 11:15:00+00:00,2.94482685,-12.04,-1.1733,1.6832,0.4231,5.5,backtest,SOL,15m,False
2020-10-01 20:45:00+00:00,2.7631809,305.9530157544709,LONG,2020-10-01 22:00:00+00:00,2.82208825,15.89,2.1319,1.7088,0.4225,1.25,backtest,SOL,15m,True
2020-10-01 22:15:00+00:00,2.8149067499999996,300.91076705564916,LONG,2020-10-01 23:30:00+00:00,2.85966945,11.34,1.5902,1.7075,0.4233,1.25,backtest,SOL,15m,True
2020-10-01 23:45:00+00:00,2.8683334499999997,295.7161554733139,LONG,2020-10-02 01:30:00+00:00,2.82048905,-16.25,-1.668,1.6823,0.4239,1.75,backtest,SOL,15m,False
2020-10-02 02:00:00+00:00,2.8378181999999996,298.3378870811681,LONG,2020-10-02 03:15:00+00:00,2.8413786,-1.06,0.1255,1.6943,0.4231,1.25,backtest,SOL,15m,False
2020-10-02 04:00:00+00:00,2.8590288,296.1024534873706,LONG,2020-10-02 05:00:00+00:00,2.7416285,-36.84,-4.1063,1.6584,0.4231,1.0,backtest,SOL,15m,False
2020-10-02 14:00:00+00:00,2.6482234499999997,318.2969829832615,LONG,2020-10-02 19:45:00+00:00,2.60659605,-15.34,-1.5719,1.6726,0.4213,5.75,backtest,SOL,15m,False
2020-10-03 00:30:00+00:00,2.6201093999999996,321.14252252055644,LONG,2020-10-03 07:00:00+00:00,2.6297844500000003,1.0,0.3693,1.686,0.4205,6.5,backtest,SOL,15m,True
2020-10-03 11:15:00+00:00,2.66133,316.2218602857844,LONG,2020-10-03 14:30:00+00:00,2.63658105,-9.92,-0.9299,1.6753,0.4206,3.25,backtest,SOL,15m,False
2020-10-03 14:45:00+00:00,2.6351169,319.00675878195517,LONG,2020-10-03 15:00:00+00:00,2.6380803000000004,-1.16,0.1125,1.6822,0.4201,0.25,backtest,SOL,15m,False
2020-10-03 18:15:00+00:00,2.6507247,317.10059526638867,LONG,2020-10-03 20:45:00+00:00,2.6216885000000003,-11.3,-1.0954,1.6719,0.4201,2.5,backtest,SOL,15m,False
2020-10-04 04:30:00+00:00,2.531265,331.6357270160058,LONG,2020-10-04 08:00:00+00:00,2.57621125,12.79,1.7756,1.6938,0.4195,3.5,backtest,SOL,15m,True
2020-10-04 08:30:00+00:00,2.55137505,329.5398551556646,LONG,2020-10-04 11:00:00+00:00,2.5402292500000003,-5.77,-0.4369,1.6779,0.4202,2.5,backtest,SOL,15m,False
2020-10-04 19:45:00+00:00,2.4793390499999997,338.8985503361647,LONG,2020-10-04 23:30:00+00:00,2.52623625,13.78,1.8915,1.6964,0.4199,3.75,backtest,SOL,15m,True
2020-10-04 23:45:00+00:00,2.5214600999999996,333.8005705258218,LONG,2020-10-05 01:15:00+00:00,2.5643172,12.19,1.6997,1.6976,0.4206,1.5,backtest,SOL,15m,True
2020-10-05 01:30:00+00:00,2.56128,329.1035179641118,LONG,2020-10-05 03:15:00+00:00,2.5227380000000004,-14.78,-1.5048,1.6732,0.4213,1.75,backtest,SOL,15m,False
2020-10-05 10:30:00+00:00,2.52196035,333.66495774215736,LONG,2020-10-05 12:15:00+00:00,2.5560213500000004,9.25,1.3506,1.6944,0.4205,1.75,backtest,SOL,15m,True
2020-10-05 12:30:00+00:00,2.55837855,329.2934653035392,LONG,2020-10-05 13:30:00+00:00,2.6085950500000004,14.41,1.9628,1.7015,0.421,1.0,backtest,SOL,15m,True
2020-10-05 13:45:00+00:00,2.6143064999999996,322.81659805748154,LONG,2020-10-05 16:15:00+00:00,2.6572707,11.75,1.6434,1.7018,0.4218,2.5,backtest,SOL,15m,True
2020-10-05 16:30:00+00:00,2.6511248999999997,318.7925694069716,LONG,2020-10-05 18:15:00+00:00,2.6036975,-17.22,-1.789,1.6752,0.4224,1.75,backtest,SOL,15m,False
2020-10-05 19:00:00+00:00,2.631315,320.55402320326704,LONG,2020-10-05 19:30:00+00:00,2.6204891,-5.58,-0.4114,1.6835,0.4215,0.5,backtest,SOL,15m,False
2020-10-05 22:00:00+00:00,2.6565275999999995,317.31760465603594,LONG,2020-10-06 01:15:00+00:00,2.6134926,-15.75,-1.62,1.6723,0.4213,3.25,backtest,SOL,15m,False
2020-10-07 03:00:00+00:00,2.173086,387.2048348035983,LONG,2020-10-07 05:30:00+00:00,2.2819584500000003,40.01,5.01,1.725,0.4205,2.5,backtest,SOL,15m,True
2020-10-07 05:45:00+00:00,2.26983435,372.48291597353267,LONG,2020-10-07 08:30:00+00:00,2.2160914000000003,-22.11,-2.3677,1.6709,0.4225,2.75,backtest,SOL,15m,False
2020-10-07 12:45:00+00:00,2.2689338999999995,371.6743391326285,LONG,2020-10-07 15:00:00+00:00,2.23038425,-16.42,-1.699,1.6723,0.4214,2.25,backtest,SOL,15m,False
2020-10-07 15:15:00+00:00,2.25082485,373.95343702752126,LONG,2020-10-07 16:30:00+00:00,2.228885,-10.3,-0.9747,1.6752,0.4206,1.25,backtest,SOL,15m,False
2020-10-07 18:30:00+00:00,2.3097543000000003,363.9847003067194,LONG,2020-10-07 22:00:00+00:00,2.2618685,-19.51,-2.0732,1.664,0.4201,3.5,backtest,SOL,15m,False
2020-10-08 10:00:00+00:00,2.1704847,386.45971698456043,LONG,2020-10-08 12:45:00+00:00,2.2636676000000002,33.88,4.2932,1.7136,0.4192,2.75,backtest,SOL,15m,True
2020-10-08 13:15:00+00:00,2.29624755,366.7881529235241,LONG,2020-10-08 15:45:00+00:00,2.42388745,44.66,5.5586,1.7313,0.4209,2.5,backtest,SOL,15m,True
2020-10-08 16:00:00+00:00,2.38729305,354.6892580976789,LONG,2020-10-08 17:30:00+00:00,2.33733075,-19.82,-2.0928,1.6758,0.4232,1.5,backtest,SOL,15m,False
2020-10-08 22:00:00+00:00,2.36188035,357.68388746897335,LONG,2020-10-09 00:15:00+00:00,2.3234377000000004,-15.85,-1.6276,1.6759,0.4222,2.25,backtest,SOL,15m,False
2020-10-09 03:30:00+00:00,2.36027955,357.2725767735783,LONG,2020-10-09 05:15:00+00:00,2.40869505,15.17,2.0513,1.7038,0.4214,1.75,backtest,SOL,15m,True
2020-10-09 05:30:00+00:00,2.4088038,350.72317063414323,LONG,2020-10-09 06:00:00+00:00,2.32733575,-30.66,-3.3821,1.6611,0.4222,0.5,backtest,SOL,15m,False
2020-10-09 08:30:00+00:00,2.4968478,337.14446479314836,LONG,2020-10-09 10:30:00+00:00,2.6004991,32.81,4.1513,1.7186,0.4207,2.0,backtest,SOL,15m,True
2020-10-09 10:45:00+00:00,2.5863925500000002,326.75734653385115,LONG,2020-10-09 17:15:00+00:00,2.56861505,-7.92,-0.6873,1.6844,0.4224,6.5,backtest,SOL,15m,False
2020-10-09 22:15:00+00:00,2.53456665,333.14296776525475,LONG,2020-10-10 02:15:00+00:00,2.5829079000000004,13.98,1.9073,1.7049,0.422,4.0,backtest,SOL,15m,True
2020-10-10 02:30:00+00:00,2.58439155,327.2777085962658,LONG,2020-10-10 04:30:00+00:00,2.5376305500000003,-17.4,-1.8094,1.6763,0.4227,2.0,backtest,SOL,15m,False
2020-10-10 08:30:00+00:00,2.5515751499999997,330.8210932594221,LONG,2020-10-10 10:00:00+00:00,2.4983502,-19.7,-2.086,1.6706,0.4218,1.5,backtest,SOL,15m,False
2020-10-10 14:45:00+00:00,2.51775825,334.4983823488381,LONG,2020-10-10 16:15:00+00:00,2.45877,-21.82,-2.3429,1.6646,0.4209,1.5,backtest,SOL,15m,False
2020-10-10 21:15:00+00:00,2.46373125,340.9646979251234,LONG,2020-10-10 23:00:00+00:00,2.4317835,-12.98,-1.2967,1.6692,0.4198,1.75,backtest,SOL,15m,False
2020-10-10 23:15:00+00:00,2.42191035,346.33343408102337,LONG,2020-10-11 00:15:00+00:00,2.39210335,-12.41,-1.2307,1.6672,0.4192,1.0,backtest,SOL,15m,False
2020-10-11 07:00:00+00:00,2.3895942,350.5151159344337,LONG,2020-10-11 10:30:00+00:00,2.4345821,13.66,1.8827,1.691,0.4186,3.5,backtest,SOL,15m,True
2020-10-11 10:45:00+00:00,2.43871875,344.03204155650747,LONG,2020-10-11 12:45:00+00:00,2.38930475,-19.08,-2.0262,1.661,0.4193,2.0,backtest,SOL,15m,False
2020-10-11 13:15:00+00:00,2.4246117,345.2636802402311,LONG,2020-10-11 13:45:00+00:00,2.4058964499999997,-8.55,-0.7719,1.6678,0.4184,0.5,backtest,SOL,15m,False
2020-10-11 17:00:00+00:00,2.4410198999999997,342.6096620478213,LONG,2020-10-11 20:00:00+00:00,2.4153917,-10.86,-1.0499,1.6638,0.4179,3.0,backtest,SOL,15m,False
2020-10-12 00:45:00+00:00,2.42751315,344.08548885706966,LONG,2020-10-12 02:30:00+00:00,2.4505741000000003,5.84,0.95,1.6785,0.4174,1.75,backtest,SOL,15m,True
2020-10-12 03:45:00+00:00,2.4961474499999996,334.87525235360727,LONG,2020-10-12 05:00:00+00:00,2.5403292,12.69,1.77,1.6866,0.4177,1.25,backtest,SOL,15m,True
2020-10-12 05:30:00+00:00,2.5477732499999997,328.6044157252048,LONG,2020-10-12 10:30:00+00:00,2.4683652,-28.16,-3.1168,1.6483,0.4184,5.0,backtest,SOL,15m,False
2020-10-12 14:15:00+00:00,2.5477732499999997,327.5149930476534,LONG,2020-10-12 16:45:00+00:00,2.5939024,13.01,1.8106,1.684,0.417,2.5,backtest,SOL,15m,True
2020-10-12 17:00:00+00:00,2.5912949999999997,322.5325599366906,LONG,2020-10-12 18:15:00+00:00,2.648675,16.4,2.2143,1.6901,0.4177,1.25,backtest,SOL,15m,True
2020-10-12 18:30:00+00:00,2.631315,318.2665456287219,LONG,2020-10-12 20:45:00+00:00,2.6860562999999997,15.31,2.0804,1.6924,0.4185,2.25,backtest,SOL,15m,True
2020-10-12 21:15:00+00:00,2.68544205,312.437693229011,LONG,2020-10-12 22:00:00+00:00,2.5988999,-29.11,-3.2226,1.651,0.4193,0.75,backtest,SOL,15m,False
2020-10-12 23:00:00+00:00,2.56638255,325.81381153734645,LONG,2020-10-12 23:15:00+00:00,2.58680595,4.56,0.7958,1.679,0.4179,0.25,backtest,SOL,15m,True
2020-10-13 06:00:00+00:00,2.50455165,334.056058874662,LONG,2020-10-13 07:15:00+00:00,2.4549719,-18.64,-1.9796,1.6568,0.4181,1.25,backtest,SOL,15m,False
2020-10-13 07:45:00+00:00,2.4894441,335.3511034040846,LONG,2020-10-13 10:15:00+00:00,2.48725575,-2.82,-0.0879,1.6689,0.4172,2.5,backtest,SOL,15m,False
2020-10-13 11:00:00+00:00,2.509254,332.60778897436154,LONG,2020-10-13 12:30:00+00:00,2.55362255,12.66,1.7682,1.684,0.4171,1.5,backtest,SOL,15m,True
2020-10-13 12:45:00+00:00,2.5206597,331.621684242982,LONG,2020-10-13 13:00:00+00:00,2.4648669500000002,-20.57,-2.2134,1.6533,0.4177,0.25,backtest,SOL,15m,False
2020-10-13 21:30:00+00:00,2.3917953,348.6455838361644,LONG,2020-10-14 00:30:00+00:00,2.43208335,11.95,1.6844,1.6818,0.4167,3.0,backtest,SOL,15m,True
2020-10-14 00:45:00+00:00,2.4374181,342.6272779931594,LONG,2020-10-14 01:15:00+00:00,2.40489695,-13.22,-1.3342,1.6591,0.4174,0.5,backtest,SOL,15m,False
2020-10-14 01:30:00+00:00,2.4164076,345.07635016973404,LONG,2020-10-14 03:00:00+00:00,2.3806091000000005,-14.43,-1.4815,1.6553,0.4167,1.5,backtest,SOL,15m,False
2020-10-14 08:00:00+00:00,2.38769325,348.639239988523,LONG,2020-10-14 10:00:00+00:00,2.35882,-12.14,-1.2093,1.6548,0.416,2.0,backtest,SOL,15m,False
2020-10-14 10:15:00+00:00,2.3625807,351.84866173615217,LONG,2020-10-14 10:30:00+00:00,2.34672605,-7.65,-0.6711,1.657,0.4154,0.25,backtest,SOL,15m,False
2020-10-14 20:45:00+00:00,2.2845416999999997,363.55079705483007,LONG,2020-10-14 23:30:00+00:00,2.31884,10.38,1.5013,1.6736,0.4151,2.75,backtest,SOL,15m,True
2020-10-14 23:45:00+00:00,2.31185535,359.72278982617615,LONG,2020-10-15 00:15:00+00:00,2.2864562,-11.21,-1.0986,1.6541,0.4156,0.5,backtest,SOL,15m,False
2020-10-15 05:30:00+00:00,2.2669329,366.37495534079716,LONG,2020-10-15 07:15:00+00:00,2.3362313,23.29,3.0569,1.6865,0.4151,1.75,backtest,SOL,15m,True
2020-10-15 07:45:00+00:00,2.3243615999999996,358.34308019639053,LONG,2020-10-15 08:15:00+00:00,2.29215335,-13.61,-1.3857,1.6543,0.4163,0.5,backtest,SOL,15m,False
2020-10-15 08:30:00+00:00,2.2870429499999996,363.61304277440325,LONG,2020-10-15 09:00:00+00:00,2.2416786,-18.56,-1.9835,1.6467,0.4156,0.5,backtest,SOL,15m,False
2020-10-15 09:15:00+00:00,2.20340115,376.5921437159464,LONG,2020-10-15 09:45:00+00:00,2.236881,10.52,1.5195,1.6722,0.4147,0.5,backtest,SOL,15m,True
2020-10-15 13:00:00+00:00,2.2731359999999996,365.5204598346538,LONG,2020-10-15 17:15:00+00:00,2.26736575,-4.18,-0.2538,1.6596,0.4152,4.25,backtest,SOL,15m,False
2020-10-15 19:00:00+00:00,2.2908448499999996,362.5302903158534,LONG,2020-10-15 22:00:00+00:00,2.2680654000000002,-10.33,-0.9944,1.6527,0.415,3.0,backtest,SOL,15m,False
2020-10-16 10:30:00+00:00,2.1818904,380.1790662784225,LONG,2020-10-16 13:00:00+00:00,2.15042425,-14.02,-1.4422,1.647,0.4145,2.5,backtest,SOL,15m,False
2020-10-16 15:30:00+00:00,2.18859375,378.3924688504971,LONG,2020-10-16 19:15:00+00:00,2.16961465,-9.24,-0.8672,1.6491,0.4139,3.75,backtest,SOL,15m,False
2020-10-17 02:15:00+00:00,2.17698795,380.0038879333296,LONG,2020-10-17 04:15:00+00:00,2.20639625,9.1,1.3509,1.6657,0.4134,2.0,backtest,SOL,15m,True
2020-10-17 04:30:00+00:00,2.2163076,373.69150220460733,LONG,2020-10-17 09:45:00+00:00,2.2087950500000004,-4.87,-0.339,1.6536,0.4139,5.25,backtest,SOL,15m,False
2020-10-17 12:45:00+00:00,2.2189088999999997,373.0522661410032,LONG,2020-10-17 13:30:00+00:00,2.1965012,-10.42,-1.0099,1.6472,0.4137,0.75,backtest,SOL,15m,False
2020-10-17 19:30:00+00:00,2.1774882,379.6887860795461,LONG,2020-10-17 23:00:00+00:00,2.19380255,4.12,0.7492,1.6597,0.4132,3.5,backtest,SOL,15m,True
2020-10-17 23:15:00+00:00,2.19119505,377.52072427705707,LONG,2020-10-18 00:30:00+00:00,2.2106941000000004,5.29,0.8899,1.6618,0.4134,1.25,backtest,SOL,15m,True
2020-10-18 00:45:00+00:00,2.2141064999999998,373.87170670557373,LONG,2020-10-18 04:45:00+00:00,2.208895,-4.02,-0.2354,1.6536,0.4137,4.0,backtest,SOL,15m,False
2020-10-18 06:45:00+00:00,2.2361174999999998,370.0303714736507,LONG,2020-10-18 08:30:00+00:00,2.2184901999999997,-8.58,-0.7883,1.6483,0.4135,1.75,backtest,SOL,15m,False
2020-10-18 08:45:00+00:00,2.2245117,371.5934077888032,LONG,2020-10-18 10:15:00+00:00,2.2072958000000003,-8.46,-0.7739,1.6468,0.4131,1.5,backtest,SOL,15m,False
2020-10-18 14:15:00+00:00,2.23241565,369.917253895149,LONG,2020-10-18 17:30:00+00:00,2.21579155,-8.21,-0.7447,1.6455,0.4127,3.25,backtest,SOL,15m,False
2020-10-18 17:45:00+00:00,2.24882385,366.8714098328605,LONG,2020-10-18 19:45:00+00:00,2.23078405,-8.67,-0.8022,1.6434,0.4123,2.0,backtest,SOL,15m,False
2020-10-19 12:30:00+00:00,2.0844417,395.4068808095716,LONG,2020-10-19 13:15:00+00:00,2.108945,7.62,1.1755,1.6581,0.4119,0.75,backtest,SOL,15m,True
2020-10-19 13:30:00+00:00,2.1048519,391.9544457170439,LONG,2020-10-19 14:00:00+00:00,2.07905995,-12.16,-1.2254,1.6399,0.4123,0.5,backtest,SOL,15m,False
2020-10-19 14:15:00+00:00,2.09634765,392.9837474979011,LONG,2020-10-19 17:45:00+00:00,2.08485705,-6.57,-0.5481,1.6431,0.4117,3.5,backtest,SOL,15m,False
2020-10-19 21:00:00+00:00,2.0982486,392.33405009677114,LONG,2020-10-19 21:30:00+00:00,2.0741624,-11.5,-1.1479,1.637,0.4114,0.5,backtest,SOL,15m,False
2020-10-19 22:00:00+00:00,2.0554271999999996,399.96801439064546,LONG,2020-10-19 22:30:00+00:00,2.0645672,1.6,0.4447,1.6479,0.4108,0.5,backtest,SOL,15m,True
2020-10-20 02:30:00+00:00,2.0668328999999996,397.8580078939714,LONG,2020-10-20 04:45:00+00:00,2.0417786,-12.01,-1.2122,1.6346,0.4109,2.25,backtest,SOL,15m,False
2020-10-20 19:45:00+00:00,1.89544725,433.21974313936386,LONG,2020-10-20 20:30:00+00:00,1.91894005,8.11,1.2394,1.6525,0.4104,0.75,backtest,SOL,15m,True
2020-10-20 21:00:00+00:00,1.9211600999999998,427.8654882391752,LONG,2020-10-20 21:15:00+00:00,1.8881554500000002,-16.16,-1.718,1.6299,0.4108,0.25,backtest,SOL,15m,False
2020-10-20 21:45:00+00:00,1.8962476499999998,432.65560525921376,LONG,2020-10-20 23:00:00+00:00,1.8906542,-4.47,-0.295,1.6384,0.41,1.25,backtest,SOL,15m,False
2020-10-21 02:00:00+00:00,1.9050520499999999,430.4428982443719,LONG,2020-10-21 03:15:00+00:00,1.94132885,13.55,1.9042,1.6557,0.4098,1.25,backtest,SOL,15m,True
2020-10-21 04:00:00+00:00,1.9559775,419.9500082270235,LONG,2020-10-21 07:15:00+00:00,1.92733585,-14.07,-1.4643,1.6308,0.4105,3.25,backtest,SOL,15m,False
2020-10-21 14:30:00+00:00,1.9562776499999999,419.18702029449315,LONG,2020-10-21 15:00:00+00:00,2.0727631,46.73,5.9544,1.6889,0.4098,0.5,backtest,SOL,15m,True
2020-10-21 15:15:00+00:00,1.99709805,412.98051450768594,LONG,2020-10-21 16:15:00+00:00,1.9545222500000001,-19.63,-2.1319,1.6319,0.4122,1.0,backtest,SOL,15m,False
